2021-05-20 19:38:34.887 [ main ] - [ INFO  ] [ c.a.n.client.config.impl.LocalConfigInfoProcessor : 195 ] - LOCAL_SNAPSHOT_PATH:/Users/mlamp/nacos/config
2021-05-20 19:38:39.495 [ main ] - [ INFO  ] [ o.s.scheduling.concurrent.ThreadPoolTaskScheduler : 181 ] - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-05-20 19:38:39.503 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.naming : 56 ] - initializer namespace from System Property :null
2021-05-20 19:38:39.505 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.naming : 65 ] - initializer namespace from System Environment :null
2021-05-20 19:38:39.506 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.naming : 75 ] - initializer namespace from System Property :null
2021-05-20 19:38:40.080 [ main ] - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-9000"]
2021-05-20 19:38:40.099 [ main ] - [ INFO  ] [ o.s.boot.web.embedded.tomcat.TomcatWebServer : 220 ] - Tomcat started on port(s): 9000 (http) with context path ''
2021-05-20 19:38:40.103 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.naming : 66 ] - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.74.133","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":9000,"scheduled":false,"serviceName":"DEFAULT_GROUP@@data-ethics-sdk-service","stopped":false,"weight":1.0} to beat map.
2021-05-20 19:38:40.157 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.naming : 196 ] - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@data-ethics-sdk-service with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.74.133","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":9000,"weight":1.0}
2021-05-20 19:38:40.209 [ main ] - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 65 ] - nacos registry, DEFAULT_GROUP data-ethics-sdk-service 192.168.74.133:9000 register finished
2021-05-20 19:38:40.233 [ main ] - [ INFO  ] [ com.mininglamp.SdkApplication : 61 ] - Started SdkApplication in 6.598 seconds (JVM running for 7.572)
2021-05-20 19:38:40.236 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.ClientWorker : 197 ] - [fixed-10.10.100.134_8020] [subscribe] data-ethics-sdk-service.yaml+DEFAULT_GROUP
2021-05-20 19:38:40.236 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.CacheData : 92 ] - [fixed-10.10.100.134_8020] [add-listener] ok, tenant=, dataId=data-ethics-sdk-service.yaml, group=DEFAULT_GROUP, cnt=1
2021-05-20 19:38:40.237 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.ClientWorker : 197 ] - [fixed-10.10.100.134_8020] [subscribe] data-ethics-sdk-service+DEFAULT_GROUP
2021-05-20 19:38:40.237 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.CacheData : 92 ] - [fixed-10.10.100.134_8020] [add-listener] ok, tenant=, dataId=data-ethics-sdk-service, group=DEFAULT_GROUP, cnt=1
2021-05-20 19:38:40.580 [ com.alibaba.nacos.client.Worker.longPolling.fixed-10.10.100.134_8020 ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.ClientWorker : 522 ] - get changedGroupKeys:[]
2021-05-20 19:39:10.191 [ com.alibaba.nacos.client.Worker.longPolling.fixed-10.10.100.134_8020 ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.ClientWorker : 522 ] - get changedGroupKeys:[]
